Title,Transaction Date,Acquired_Disposed,Amount,Price
AMAZON COM INC,08/15/2024,A,"13,753",N/A
AMAZON COM INC,08/15/2024,D,"1,900",$174.7332(2)
AMAZON COM INC,08/15/2024,D,"3,102",$175.4903(3)
AMAZON COM INC,08/15/2024,D,500,$176.184(4)
AMAZON COM INC,,,,
AMAZON COM INC,08/01/2024,D,"3,500",$189.25
AMAZON COM INC,,,,
AMAZON COM INC,07/11/2024,D,"403,974",$200.0282(2)
AMAZON COM INC,07/09/2024,D,"1,996,015",$200.1198(2)
AMAZON COM INC,07/10/2024,D,"266,396",$200.0069(3)
AMAZON COM INC,07/05/2024,D,"3,085,116",$200.0727(2)
AMAZON COM INC,07/08/2024,D,"1,171,794",$200.3253(3)
AMAZON COM INC,07/08/2024,D,"57,199",$201.0537(4)
AMAZON COM INC,07/02/2024,D,"1,463,437",$200.0822(2)
AMAZON COM INC,07/03/2024,D,"201,449",$200.0012(3)
AMAZON COM INC,07/01/2024,D,800,$194.0063(2)
AMAZON COM INC,07/01/2024,D,800,$195.3913(3)
AMAZON COM INC,07/01/2024,D,900,$196.6789(4)
AMAZON COM INC,07/01/2024,D,"1,000",$197.4361(5)
AMAZON COM INC,07/02/2024,D,"12,500",$200
AMAZON COM INC,,,,
AMAZON COM INC,06/27/2024,D,"4,710",$195
AMAZON COM INC,06/03/2024,D,"2,000",$176.9625(2)
AMAZON COM INC,06/03/2024,D,"1,500",$177.7327(3)
AMAZON COM INC,,,,
AMAZON COM INC,05/29/2024,D,"431,426",N/A
AMAZON COM INC,05/30/2024,D,"667,260",N/A
AMAZON COM INC,05/21/2024,A,"31,960",N/A
AMAZON COM INC,05/21/2024,A,"20,000",N/A
AMAZON COM INC,05/21/2024,D,"18,177",$181.335(2)
AMAZON COM INC,05/21/2024,D,"2,607",$182.1332(3)
AMAZON COM INC,,,,
AMAZON COM INC,,,,
AMAZON COM INC,05/21/2024,A,"12,640",N/A
AMAZON COM INC,05/21/2024,A,"2,600",N/A
AMAZON COM INC,05/21/2024,D,"4,996",$181.2477(2)
AMAZON COM INC,05/21/2024,D,"1,100",$182.1136(3)
AMAZON COM INC,,,,
AMAZON COM INC,05/21/2024,A,"11,360",N/A
AMAZON COM INC,05/21/2024,A,"3,240",N/A
AMAZON COM INC,05/21/2024,D,"14,600",$182.11
AMAZON COM INC,,,,
AMAZON COM INC,05/21/2024,A,"11,360",N/A
AMAZON COM INC,05/21/2024,A,"3,240",N/A
AMAZON COM INC,05/21/2024,D,"7,590",$181.2304(2)
AMAZON COM INC,05/21/2024,D,"1,900",$182.1389(3)
AMAZON COM INC,05/21/2024,A,"9,000",N/A
AMAZON COM INC,05/21/2024,D,"2,956",$181.338(2)
AMAZON COM INC,05/21/2024,D,"1,144",$182.148(3)
AMAZON COM INC,05/22/2024,D,500,$183.85
AMAZON COM INC,,,,
AMAZON COM INC,,,,
AMAZON COM INC,05/21/2024,A,"2,340",N/A
AMAZON COM INC,05/21/2024,A,360,N/A
AMAZON COM INC,05/21/2024,D,"2,400",$181.2883(2)
AMAZON COM INC,05/21/2024,D,300,$182.1933(3)
AMAZON COM INC,,,,
AMAZON COM INC,05/15/2024,A,"20,040",N/A
AMAZON COM INC,05/15/2024,D,"1,748",$183.5005(2)
AMAZON COM INC,05/15/2024,D,"3,356",$184.2831(3)
AMAZON COM INC,05/15/2024,D,"2,957",$185.557(4)
AMAZON COM INC,05/15/2024,D,455,$186.1774(5)
AMAZON COM INC,05/16/2024,D,500,$185.68
AMAZON COM INC,,,,
AMAZON COM INC,,,,
AMAZON COM INC,05/15/2024,A,"13,753",N/A
AMAZON COM INC,05/15/2024,D,"1,802",$183.4821(2)
AMAZON COM INC,05/15/2024,D,"2,500",$184.292(3)
AMAZON COM INC,05/15/2024,D,800,$185.4163(4)
AMAZON COM INC,05/15/2024,D,400,$186.155(5)
AMAZON COM INC,,,,
AMAZON COM INC,05/15/2024,A,"2,120",N/A
AMAZON COM INC,,,,
AMAZON COM INC,05/09/2024,D,"5,264",$190
AMAZON COM INC,05/06/2024,D,"1,000",$186.22
AMAZON COM INC,05/01/2024,D,800,$177.7863(2)
AMAZON COM INC,05/01/2024,D,600,$178.9817(3)
AMAZON COM INC,05/01/2024,D,700,$180.0514(4)
AMAZON COM INC,05/01/2024,D,600,$181.155(5)
AMAZON COM INC,05/01/2024,D,400,$182.3875(6)
AMAZON COM INC,05/01/2024,D,200,$183.75(7)
AMAZON COM INC,05/01/2024,D,200,$184.8(8)
AMAZON COM INC,,,,
AMAZON COM INC,04/18/2024,D,500,$181.38
AMAZON COM INC,04/19/2024,D,500,$179
AMAZON COM INC,,,,
AMAZON COM INC,,,,
AMAZON COM INC,04/04/2024,D,500,$184
AMAZON COM INC,04/05/2024,D,500,$182.53
AMAZON COM INC,,,,
AMAZON COM INC,,,,
AMAZON COM INC,04/01/2024,D,"3,500",$180.73
AMAZON COM INC,,,,
AMAZON COM INC,03/21/2024,D,500,$180
AMAZON COM INC,03/22/2024,D,500,$177.58
AMAZON COM INC,,,,
AMAZON COM INC,,,,
AMAZON COM INC,03/07/2024,D,500,$174.81
AMAZON COM INC,03/08/2024,D,500,$176.31
AMAZON COM INC,,,,
AMAZON COM INC,,,,
AMAZON COM INC,03/04/2024,D,"5,556",$180
AMAZON COM INC,03/04/2024,D,"50,000",$180
AMAZON COM INC,,,,
AMAZON COM INC,,,,
AMAZON COM INC,03/01/2024,D,"3,500",$176.67
AMAZON COM INC,,,,
AMAZON COM INC,03/01/2024,D,"250,291",N/A
AMAZON COM INC,03/04/2024,D,"227,561",N/A
AMAZON COM INC,02/29/2024,D,"2,880",$173
AMAZON COM INC,03/01/2024,D,"2,880",$176.67
AMAZON COM INC,02/21/2024,A,"25,000",N/A
AMAZON COM INC,02/21/2024,A,"20,120",N/A
AMAZON COM INC,02/21/2024,A,"10,000",N/A
AMAZON COM INC,02/21/2024,D,"11,395",$168.1637(2)
AMAZON COM INC,02/21/2024,D,"7,300",$169.2842(3)
AMAZON COM INC,02/21/2024,D,"3,353",$169.8197(4)
AMAZON COM INC,,,,
AMAZON COM INC,,,,
AMAZON COM INC,02/21/2024,A,"11,300",N/A
AMAZON COM INC,02/21/2024,A,"4,920",N/A
AMAZON COM INC,02/21/2024,A,"7,500",N/A
AMAZON COM INC,02/21/2024,D,"9,488",$168.97
AMAZON COM INC,,,,
AMAZON COM INC,02/21/2024,A,"10,620",N/A
AMAZON COM INC,02/21/2024,A,"3,940",N/A
AMAZON COM INC,02/21/2024,A,"2,240",N/A
AMAZON COM INC,02/21/2024,D,"16,800",$168.97
AMAZON COM INC,,,,
AMAZON COM INC,02/21/2024,A,"10,620",N/A
AMAZON COM INC,02/21/2024,A,"3,940",N/A
AMAZON COM INC,02/21/2024,A,"2,240",N/A
AMAZON COM INC,02/21/2024,D,"8,400",$168.97
AMAZON COM INC,02/21/2024,D,"2,520",$170
AMAZON COM INC,02/21/2024,A,"7,760",N/A
AMAZON COM INC,02/21/2024,D,"1,604",$168.1552(2)
AMAZON COM INC,02/21/2024,D,"1,300",$169.15(3)
AMAZON COM INC,02/21/2024,D,700,$169.7486(4)
AMAZON COM INC,02/22/2024,D,500,$173
AMAZON COM INC,,,,
AMAZON COM INC,,,,
AMAZON COM INC,02/21/2024,A,"1,780",N/A
AMAZON COM INC,02/21/2024,A,"1,260",N/A
